lga_name_2016, lga_code_2016, p_y8b_tot, p_dngts_tot
"Trayning (S)","58400",23,0
"West Daly (R)","74680",356,48
"Unincorporated NT","79399",138,26
"Upper Gascoyne (S)","58470",7,0
"Victoria Park (T)","58510",799,223
"Alice Springs (T)","70200",840,192
"Devonport (C)","61610",1074,63
"Dorset (M)","61810",332,12
"Victoria Plains (S)","58540",31,0
"Flinders (M) (Tas.)","62010",34,3
"George Town (M)","62210",313,11
"Glamorgan/Spring Bay (M)","62410",184,16
"Glenorchy (C)","62610",2082,393
"Hobart (C)","62810",986,165
"Huon Valley (M)","63010",548,30
"Kentish (M)","63210",291,23
"King Island (M)","63410",69,0
"Kingborough (M)","63610",693,41
"Latrobe (M) (Tas.)","63810",427,20
"Launceston (C)","64010",2559,488
"Meander Valley (M)","64210",788,42
"Vincent (C)","58570",912,227
"Wagin (S)","58610",80,8
"Wandering (S)","58680",9,0
"Wanneroo (C)","58760",3902,1430
"Waroona (S)","58820",177,22
"West Arthur (S)","58890",36,3
"Northern Midlands (M)","64610",540,33
"Sorell (M)","64810",452,25
"Palmerston (C)","72800",580,125
"Roper Gulf (R)","73600",635,157
"Tiwi Islands (R)","74050",115,13
"Victoria Daly (R)","74550",218,124
"Katherine (T)","72200",321,96
"Litchfield (M)","72300",533,73
"Wickepin (S)","59100",26,0
"Wagait (S)","74560",10,0
"West Arnhem (R)","74660",438,148
"Williams (S)","59170",35,0
"Wiluna (S)","59250",52,7
"Unincorporated ACT","89399",6659,1391
"Unincorp. Other Territories","99399",186,144
"Wongan-Ballidu (S)","59310",46,0
"Woodanilling (S)","59320",9,0
"Wyalkatchem (S)","59330",33,3
"Wyndham-East Kimberley (S)","59340",239,96
"Yalgoo (S)","59350",7,8
"Yilgarn (S)","59360",62,0
"York (S)","59370",142,3
"Break O'Day (M)","60210",314,12
"Brighton (M)","60410",523,40
"Burnie (C)","60610",839,69
"Central Coast (M) (Tas.)","60810",1021,32
"Central Highlands (M) (Tas.)","61010",116,7
"Circular Head (M)","61210",347,18
"Clarence (C)","61410",1527,126
"Derwent Valley (M)","61510",456,51
"Barkly (R)","70420",843,259
"Belyuen (S)","70540",38,0
"Central Desert (R)","70620",827,150
"Coomalie (S)","70700",66,4
"Darwin (C)","71000",2063,469
"East Arnhem (R)","71300",1032,120
"MacDonnell (R)","72330",845,184
